year,team,teamname,obp,era,winpct,homerun,battingavg,finish
2017,HOU,Houston Astros (AL),0.346,4.12,62.3,238,0.282,Champions
2017,LAD,Los Angeles Dodgers (NL),0.334,3.38,64.2,221,0.249,Finalists
2017,CHC,Chicago Cubs (NL),0.338,3.95,56.8,223,0.255,Semi-Finalists
2017,ARI,Arizona Diamondbacks (NL),0.329,3.66,57.4,220,0.254,Quarter Finals
2017,COL,Colorado Rockies (NL),0.338,4.51,53.7,192,0.273,Wild Card
2017,ATL,Atlanta Braves (NL),0.326,4.72,44.4,165,0.263,Did Not Qualify
2017,BAL,Baltimore Orioles (AL),0.312,4.97,46.3,232,0.26,Did Not Qualify
2017,BOS,Boston Red Sox (AL),0.329,3.7,57.4,168,0.258,Quarter Finals
2017,CHW,Chicago White Sox (AL),0.314,4.78,41.4,186,0.256,Did Not Qualify
2017,CIN,Cincinnati Reds (NL),0.329,5.17,42,219,0.253,Did Not Qualify
2017,CLE,Cleveland Indians (AL),0.339,3.3,63,212,0.263,Quarter Finals
2017,DET,Detroit Tigers (AL),0.324,5.36,39.5,187,0.258,Did Not Qualify
2017,KCR,Kansas City Royals (AL),0.311,4.61,49.4,193,0.259,Did Not Qualify
2017,LAA,Los Angeles Angels (AL),0.315,4.2,49.4,186,0.243,Did Not Qualify
2017,MIA,Miami Marlins (NL),0.331,4.82,47.5,194,0.267,Did Not Qualify
2017,MIL,Milwaukee Brewers (NL),0.322,4,53.1,224,0.249,Did Not Qualify
2017,MIN,Minnesota Twins (AL),0.334,4.59,52.5,206,0.26,Wild Card
2017,NYM,New York Mets (NL),0.32,5.01,43.2,224,0.25,Did Not Qualify
2017,NYY,New York Yankees (AL),0.339,3.72,56.2,241,0.262,Semi-Finalists
2017,OAK,Oakland Athletics (AL),0.319,4.67,46.3,234,0.246,Did Not Qualify
2017,PHI,Philadelphia Phillies (NL),0.315,4.55,40.7,174,0.25,Did Not Qualify
2017,PIT,Pittsburgh Pirates (NL),0.318,4.22,46.3,151,0.244,Did Not Qualify
2017,SDP,San Diego Padres (NL),0.299,4.67,43.8,189,0.234,Did Not Qualify
2017,SEA,Seattle Mariners (AL),0.325,4.46,48.1,200,0.259,Did Not Qualify
2017,SFG,San Francisco Giants (NL),0.309,4.5,39.5,128,0.249,Did Not Qualify
2017,STL,St. Louis Cardinals (NL),0.334,4.01,51.2,196,0.256,Did Not Qualify
2017,TBR,Tampa Bay Rays (AL),0.317,3.97,49.4,228,0.245,Did Not Qualify
2017,TEX,Texas Rangers (AL),0.32,4.66,48.1,237,0.244,Did Not Qualify
2017,TOR,Toronto Blue Jays (AL),0.312,4.42,46.9,222,0.24,Did Not Qualify
2017,WSN,Washington Nationals (NL),0.332,3.88,59.9,215,0.266,Quarter Finals
2016,ARI,Arizona Diamondbacks (NL),0.32,5.09,42.6,190,0.261,Did Not Qualify
2016,ATL,Atlanta Braves (NL),0.321,4.51,42,122,0.255,Did Not Qualify
2016,BAL,Baltimore Orioles (AL),0.317,4.22,54.9,253,0.256,Wild Card
2016,BOS,Boston Red Sox (AL),0.348,4,57.4,208,0.282,Quarter Finals
2016,CHC,Chicago Cubs (NL),0.343,3.15,63.6,199,0.256,Champions
2016,CHW,Chicago White Sox (AL),0.317,4.1,48.1,168,0.257,Did Not Qualify
2016,CIN,Cincinnati Reds (NL),0.316,4.91,42,164,0.256,Did Not Qualify
2016,CLE,Cleveland Indians (AL),0.329,3.84,58,185,0.262,Finalists
2016,COL,Colorado Rockies (NL),0.336,4.91,46.3,204,0.275,Did Not Qualify
2016,DET,Detroit Tigers (AL),0.331,4.24,53.1,211,0.267,Did Not Qualify
2016,HOU,Houston Astros (AL),0.319,4.06,51.9,198,0.247,Did Not Qualify
2016,KCR,Kansas City Royals (AL),0.312,4.21,50,147,0.261,Did Not Qualify
2016,LAA,Los Angeles Angels (AL),0.322,4.28,45.7,156,0.26,Did Not Qualify
2016,LAD,Los Angeles Dodgers (NL),0.319,3.7,56.2,189,0.249,Semi-Finalists
2016,MIA,Miami Marlins (NL),0.322,4.05,48.8,128,0.263,Did Not Qualify
2016,MIL,Milwaukee Brewers (NL),0.322,4.08,45.1,194,0.244,Did Not Qualify
2016,MIN,Minnesota Twins (AL),0.316,5.08,36.4,200,0.251,Did Not Qualify
